Month,Case Shipments,Consumer Packs,Dealer Allowance
1/1/1983,,0,396776
2/1/1983,,0,152296
3/1/1983,,0,157640
4/1/1983,,0,246064
5/1/1983,,15012,335716
6/1/1983,,62337,326312
7/1/1983,,4022,263284
8/1/1983,,3130,488676
9/1/1983,,422,33928
10/1/1983,,0,224028
11/1/1983,,0,304004
12/1/1983,,0,325872
1/1/1984,425075,75253,457732
2/1/1984,315305,15036,254396
3/1/1984,367286,134440,259952
4/1/1984,429432,119740,267368
5/1/1984,347874,135590,158504
6/1/1984,435529,189639,430012
7/1/1984,299403,9308,388516
8/1/1984,296505,41099,225616
9/1/1984,426701,9391,1042304
10/1/1984,329722,942,974092
11/1/1984,281783,1818,301892
12/1/1984,166391,672,76148
1/1/1985,629402,548704,0
2/1/1985,263467,52818,315196
3/1/1985,398320,2793,703624
4/1/1985,376569,27749,198464
5/1/1985,444404,21887,478880
6/1/1985,386986,1110,457172
7/1/1985,414314,436,709480
8/1/1985,253493,1407,45380
9/1/1985,484365,376650,28080
10/1/1985,305989,122906,111520
11/1/1985,315407,15138,267200
12/1/1985,182784,5532,354304
1/1/1986,655748,544807,664712
2/1/1986,270483,43708,536824
3/1/1986,365058,5740,551560
4/1/1986,313135,9614,150080
5/1/1986,528210,1507,580800
6/1/1986,379856,13620,435080
7/1/1986,472058,101179,361144
8/1/1986,254516,80309,97844
9/1/1986,551354,335768,30372
10/1/1986,335826,91710,150324
11/1/1986,320408,9856,293044
12/1/1986,276901,107172,162788
1/1/1987,455136,299781,32532
2/1/1987,247570,21218,23468
3/1/1987,622204,157,4503456
4/1/1987,429331,12961,500904
5/1/1987,453156,333529,0
6/1/1987,320103,178105,0
7/1/1987,451779,315564,46104
8/1/1987,249482,80206,92252
9/1/1987,744583,5940,4869952
10/1/1987,421186,36819,376556
11/1/1987,397367,234562,376556
12/1/1987,269096,71881,552536
